uint8_t Level_00[] = {
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,
3,254,253,254,253,254,252,254,253,254,253,254,253,254,253,255,
3,253,254,253,3,253,254,253,254,253,254,253,254,3,254,255,
3,254,253,254,3,254,253,0,1,1,1,3,253,255,255,255,
3,253,254,253,3,253,254,19,254,253,254,19,254,1,1,255,
0,1,1,1,19,254,253,254,253,3,253,254,253,254,253,255,
3,253,254,253,254,253,254,1,1,1,1,1,1,1,1,255,
3,254,253,254,253,254,253,254,253,254,253,254,253,254,253,255,
3,253,254,253,254,253,254,253,254,253,254,253,254,253,254,255,
255,255,255,3,253,254,253,254,253,254,253,254,253,254,253,255,
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,
};
